3 1 2 21 173.166 2092.62 -0.0043575 0.00212127	337.656300928 -15.9818097576
3 1 19 21 1904.44 2103.83 -0.00133639 0.00877705	337.655065744 -15.8513165104
3 1 16 22 1621.73 2172.98 -0.000746528 0.00762406	337.649721368 -15.8726168827
3 1 16 22 1584.57 2179.64 -0.00160229 0.00832018	337.649208491 -15.8754168166
3 1 19 22 1916.06 2196.27 -0.00294039 0.00822359	337.64784307 -15.85044443
3 1 19 22 1907.68 2226.31 -0.000167084 0.00879518	337.645498417 -15.8510767159
3 1 11 22 1123.16 2231.82 -0.000462881 0.00521101	337.645222809 -15.9101877253
3 1 11 23 1049.28 2276.19 0.00109006 0.0034536	337.641769872 -15.9157572382
3 1 2 24 125.916 2453.3 0.000519604 0.00938357	337.628108074 -15.9853822213
3 1 17 25 1667.12 2507.51 -0.00777137 0.00834017	337.623579528 -15.8692078378
3 1 4 26 378.068 2564.23 -0.000247717 0.00115807	337.619385026 -15.9663673984
3 1 18 26 1783.68 2618.17 -0.00302458 0.0181277	337.614914731 -15.8604301867
3 1 16 27 1584.37 2661.86 -0.00206047 0.00342611	337.61153703 -15.8754466759
3 1 12 27 1157.06 2670.27 -0.00225953 0.00415734	337.610954544 -15.9076451736
3 1 15 27 1518.92 2755.16 -0.00889178 0.0045614	337.604259795 -15.8803804131
3 1 19 28 1890.15 2770.69 -0.00346816 0.00723001	337.602983843 -15.8524144003
3 1 12 28 1130.74 2828.21 -0.00126012 0.00560462	337.598617727 -15.9096328084
3 1 17 28 1691 2821.83 -0.00497833 0.0106869	337.599022985 -15.8674179265
3 1 18 28 1758.2 2833.26 -0.00276594 0.00603816	337.598119053 -15.8623558462
3 1 9 29 852.817 2937.15 -0.00318508 0.00739358	337.590150771 -15.9305827059
3 1 18 29 1816.68 2964.81 0.00197989 0.00767794	337.587834914 -15.8579541342
3 1 9 30 827.819 2982.02 -0.000515296 0.00647701	337.586648181 -15.93246808
3 1 3 30 236.233 3027.14 -0.00156803 0.00187685	337.583220949 -15.9770739961
3 1 6 35 596.196 3546.75 -0.00794491 0.00569289	337.542545672 -15.9499411736
3 1 1 35 91.3112 3528.35 -0.00257637 0.00344572	337.54405876 -15.9880141563
3 1 20 36 1996.5 3626.01 -0.00327185 0.00494967	337.536172514 -15.8444253793
3 1 14 38 1384.69 3797.91 -0.00152409 0.00477195	337.522818908 -15.890518142
3 1 18 37 1785.51 3694.28 -0.00238143 0.00512224	337.53086661 -15.8603193879
3 1 18 37 1810.08 3703.84 -0.00336368 0.00906272	337.530117028 -15.8584687832
3 1 15 37 1441.47 3702.54 -0.00320036 0.00751551	337.530262648 -15.8862381559
3 1 19 34 1877.36 3410.01 -0.000888682 0.00434651	337.553056147 -15.853394445
3 1 2 36 200.063 3649.75 -0.00512031 0.00405698	337.534550842 -15.9798138902
3 1 17 35 1722.87 3494.61 -0.00300299 0.00606057	337.546469327 -15.8650337865
3 1 9 34 868.265 3382.41 -0.00333916 0.00422573	337.555351162 -15.9294281267
3 1 13 35 1272.24 3550.31 -0.00363527 0.00556992	337.542176633 -15.8989862948
3 1 9 35 822.766 3494.5 -0.00250411 0.00544887	337.546597734 -15.9328600182
3 1 15 37 1454.02 3751.79 -0.00403565 0.00507286	337.526413764 -15.8852935662
3 1 15 34 1506.09 3412.86 -0.00300826 0.00736821	337.552883653 -15.8813633921
3 1 10 32 954.131 3231.84 -0.00364333 0.00401934	337.567105212 -15.9229528518
3 1 19 32 1885.94 3255.71 -0.00228854 0.00452682	337.565105287 -15.8527444814
3 1 5 32 506.332 3200.03 -0.00145477 0.00475952	337.569660365 -15.9567096317
3 1 10 38 974.408 3884.73 -0.00263634 0.00342881	337.516082877 -15.9214376643
3 1 9 40 902.801 4028.89 -0.0045507 0.00778097	337.504825427 -15.9268373144
3 1 8 38 752.135 3879.84 -0.00155314 0.00373966	337.516491421 -15.9381915343
3 1 7 31 659.07 3139.56 -0.0035692 0.0065665	337.574362611 -15.9451927136
3 1 18 32 1796.64 3275.01 -0.00184661 0.00741089	337.563610738 -15.8594716277
3 1 8 39 744.046 3990.41 -0.00327778 0.00503149	337.507850706 -15.9388032567
3 1 6 40 511.769 4016.86 -0.00207019 0.00368029	337.505810731 -15.9563150907
3 1 3 39 287.456 3965.09 -0.00236603 0.00280068	337.50988572 -15.9732285708
3 1 2 38 131.204 3889.37 -0.00300205 0.00302927	337.515826497 -15.9850115765
3 2 7 2 698.749 155.808 -0.0026813 0.00400259	337.477278156 -15.9422189945
3 2 10 3 956.887 258.878 0.000194485 0.00250945	337.469200426 -15.9227659562
3 2 10 3 935.716 266.593 -0.002284 0.00410595	337.468599674 -15.9243615737
3 2 8 3 808.616 280.314 -4.65843e-05 0.00370851	337.467539481 -15.933940706
3 2 7 4 715.395 309.193 -0.00690969 0.00565965	337.46529157 -15.9409672971
3 2 2 4 112.177 310.311 -0.0037965 0.00800476	337.465254996 -15.9864419277
3 2 19 4 1922.24 387.146 -0.00225635 0.00426268	337.459102429 -15.8500369028
3 2 7 5 712.126 413.717 -0.00568627 0.000469188	337.457124862 -15.9412155037
3 2 8 5 784.007 411.826 -0.00527827 0.00434628	337.457266483 -15.9357977096
3 2 11 5 1076.05 421.618 -0.00389482 0.00354862	337.456476437 -15.9137886218
3 2 4 5 390.253 441.685 -0.00138447 0.00217646	337.454965651 -15.9654790133
3 2 11 5 1026.58 478.528 -0.00385694 0.00345649	337.452034926 -15.9175174049
3 2 12 6 1143.06 525.802 -0.00233502 0.0019175	337.448332623 -15.9087405513
3 2 1 6 66.3438 554.044 -0.000945341 0.00442601	337.446206476 -15.989903023
3 2 13 6 1311.13 558.233 -0.00295282 -0.000758417	337.445786377 -15.8960768529
3 2 6 7 520.909 640.072 -0.00436352 9.63585e-05	337.439452756 -15.9556326254
3 2 1 7 70.1934 678.767 -0.00301285 0.00569082	337.436457229 -15.9896150341
3 2 10 7 926.935 692.068 -0.000520029 0.00319129	337.435360938 -15.9250296192
3 2 13 7 1325.11 706.68 -0.00522437 0.0022815	337.434191218 -15.8950252629
3 2 8 8 721.807 740.366 -0.00224005 0.00333122	337.431602104 -15.940490518
3 2 19 8 1890.67 754.822 -0.00377051 0.00903436	337.430397636 -15.8524196004
3 2 9 8 905.777 775.09 -0.00202101 0.000209982	337.428876616 -15.9266251438
3 2 6 8 576.031 793.001 -0.000986316 0.00264936	337.427499171 -15.9514794478
3 2 9 9 914.518 837.143 -0.00385213 0.00442361	337.42402837 -15.9259670357
3 2 5 9 472.73 884.733 -0.0020813 0.00292956	337.420337468 -15.9592678492
3 2 11 9 1056.22 903.281 -0.00390257 0.0048803	337.418852834 -15.9152887277
3 2 11 10 1069.78 991.949 -0.00184049 0.00309693	337.411925918 -15.9142676207
3 2 7 11 662.15 1034.6 0.00550105 -0.00379535	337.408616788 -15.9449903466
3 2 3 11 264.299 1101.44 -0.00260297 0.00240538	337.403412638 -15.9749846262
3 2 7 11 666.342 1107.13 -0.00254011 0.000445184	337.40294968 -15.9446749733
3 2 19 12 1897.88 1142.12 -0.00334676 0.00402587	337.400159686 -15.8518799159
3 2 11 12 1103.16 1176.3 -0.00129181 -0.000115746	337.397524345 -15.9117534553
3 2 14 12 1424.35 1195.17 -0.00531261 -0.000439383	337.396035649 -15.8875520525
3 2 18 13 1831.97 1229.09 -0.00319249 0.00634962	337.393371703 -15.8568449959
3 2 19 13 1897.67 1254.53 -0.00896581 0.000967168	337.391383659 -15.8518964367
